amfi_code,Sharpe_Ratio,Sharpe_Rank
148567,1.4482911703262598,1.0
120843,1.3067439695428409,2.0
148569,1.2349300257743294,3.0
119551,1.2082665673727175,4.0
120505,1.1801011976606492,5.0
149323,1.1321218524747243,6.0
100033,1.093698743534631,7.0
118632,1.0816591793457042,8.0
101206,1.0272133278753695,9.0
120504,1.0265242847993001,10.0
119094,0.9982309868636413,11.0
119552,0.9532794968660104,12.0
149324,0.9497958246616031,13.0
119598,0.9453082575156095,14.0
148568,0.9262873467360144,15.0
102885,0.8170993373494367,16.0
120503,0.7979728586052847,17.0
125497,0.7757902498211205,18.0
118635,0.664856998549062,19.0
120506,0.6488787755249532,20.0
118633,0.6452074382933215,21.0
102887,0.6195175900829828,22.0
120507,0.4957233929533123,23.0
120841,0.4942725378672349,24.0
149322,0.46403744922047774,25.0
118634,0.44843400890899127,26.0
125498,0.30061192104254786,27.0
101207,0.16266076928646772,28.0
119093,0.12961449795669328,29.0
120842,0.07599984804658923,30.0
119092,0.03078485095458594,31.0
119599,-0.05718662582817995,32.0
119095,-0.0759735711747892,33.0
120844,-0.08874729621557288,34.0
100016,-0.20151706755966936,35.0
102886,-0.20583160785470309,36.0
119120,-0.22657538662791576,37.0
118636,-0.35662950751436784,38.0
100025,-0.5670947928476846,39.0
101208,-0.8155673679088263,40.0
